Tower/Transect,Point,Name,Longitude,Latitude,Location,Location Name,Length (Km),Length (nm),,
Tower,1,Plum Island,-72.163,41.1894,"Plum Island, NY Tower","Plum Island, NY Tower",,,,
Tower,2,Plum Island,-72.163,41.1894,"Plum Island, NY Tower","Plum Island, NY Tower",,,,
Tower,3,Great Gull Island,-72.11925,41.20182,"Great Gull Island, NY Tower","Great Gull Island, NY Tower",,,,
Tower,4,Napatree,-71.883808,41.306265,"Napatree, RI","Napatree, RI",,,,
Tower,5,Montauk,-71.8691,41.0591,"Montauk, NY Tower","Montauk, NY Tower",,,,"Napatree Point, RI Tower"
Tower,6,Trustom Pond,-71.5762,41.3734,"Trustom Pond, RI Tower","Trustom Pond, RI Tower",,,,
Tower,7,Block Islandr,-71.552704,41.153173,"Block Island, RI Tower","Block Island, RI Tower",,,,"Montauk, NY Tower"
Dock,1,Point Judith Port,-71.510591,41.383044,Point Judith Port,Point Judith Port,,,,
Turbines,2,,-71.50983605,41.12779453,,,28.34778325,15.29608919,,"Trustom Pond, RI Tower"
Turbines,3,,-71.51596774,41.12218704,,,0.808053784,0.436015142,,
Turbines,4,,-71.52310445,41.11707762,,,0.825356945,0.445351699,,"Block Island, RI Tower"
Turbines,5,,-71.53082982,41.1126119,,,0.816678327,0.440668832,,
Turbines,6,,-71.53927881,41.10884766,,,0.823641657,0.444426153,,Point Judith Port
TurbineLoc,Turbine 2,Turbine 2,-71.50749457,41.12572452,,,,,,
TurbineLoc,Turbine 3,Turbine 3,-71.51393251,41.11983696,,,,,,
TurbineLoc,Turbine 4,Turbine 4,-71.52112527,41.11468742,,,,,,
TurbineLoc,Turbine 5,Turbine 5,-71.52916445,41.1100403,,,,,,
TurbineLoc,Turbine 1,Turbine 1,-71.5377061,41.10623477,,,,,,
