,tagid,ts,loc,power,lat,long,spp,tagLoc,tagDate,deployLat,deployLon
42,132,7/5/17 12:59,BOAT,43,41.0893533,-71.7965614,COTE,ny_ggi,6/19/17,41.202012,-72.119003
38,132,7/5/17 13:00,BOAT,42,41.08893,-71.8019414,COTE,ny_ggi,6/19/17,41.202012,-72.119003
39,132,7/5/17 13:00,BOAT,43,41.0889,-71.8023333,COTE,ny_ggi,6/19/17,41.202012,-72.119003
40,132,7/5/17 13:00,BOAT,46,41.0888667,-71.8026514,COTE,ny_ggi,6/19/17,41.202012,-72.119003
43,132,7/5/17 13:00,BOAT,41,41.088825,-71.80293,COTE,ny_ggi,6/19/17,41.202012,-72.119003
44,132,7/5/17 13:01,BOAT,46,41.08865,-71.8051547,COTE,ny_ggi,6/19/17,41.202012,-72.119003
41,132,7/5/17 13:01,BOAT,41,41.0885333,-71.806505,COTE,ny_ggi,6/19/17,41.202012,-72.119003
33,125,7/5/17 13:42,BOAT,59,41.1014633,-71.8505017,COTE,ny_ggi,6/18/17,41.202012,-72.119003
31,125,7/5/17 13:42,BOAT,45,41.1014667,-71.8506717,COTE,ny_ggi,6/18/17,41.202012,-72.119003
37,125,7/5/17 13:42,BOAT,49,41.1014767,-71.85089,COTE,ny_ggi,6/18/17,41.202012,-72.119003
32,125,7/5/17 13:43,BOAT,41,41.1015683,-71.8514047,COTE,ny_ggi,6/18/17,41.202012,-72.119003
29,125,7/5/17 13:44,BOAT,52,41.1014317,-71.8538781,COTE,ny_ggi,6/18/17,41.202012,-72.119003
35,125,7/5/17 13:44,BOAT,58,41.1010617,-71.8536783,COTE,ny_ggi,6/18/17,41.202012,-72.119003
36,125,7/5/17 13:44,BOAT,59,41.1005467,-71.8533017,COTE,ny_ggi,6/18/17,41.202012,-72.119003
25,125,7/5/17 13:45,BOAT,56,41.1003933,-71.853165,COTE,ny_ggi,6/18/17,41.202012,-72.119003
26,125,7/5/17 13:45,BOAT,59,41.1002567,-71.8530533,COTE,ny_ggi,6/18/17,41.202012,-72.119003
28,125,7/5/17 13:45,BOAT,54,41.10012,-71.8529333,COTE,ny_ggi,6/18/17,41.202012,-72.119003
27,125,7/5/17 13:45,BOAT,69,41.10001,-71.8528283,COTE,ny_ggi,6/18/17,41.202012,-72.119003
