,tagid,ts,loc,power,lat,long,spp,tagLoc,tagDate,deployLat,deployLon
65,144,7/5/17 13:41,BOAT,55,41.1017083,-71.8482081,ROST,ny_ggi,6/19/17,41.202012,-72.119003
56,144,7/5/17 13:41,BOAT,63,41.101555,-71.848735,ROST,ny_ggi,6/19/17,41.202012,-72.119003
49,144,7/5/17 13:41,BOAT,51,41.1015267,-71.8488867,ROST,ny_ggi,6/19/17,41.202012,-72.119003
48,144,7/5/17 13:42,BOAT,53,41.1014533,-71.84927,ROST,ny_ggi,6/19/17,41.202012,-72.119003
69,144,7/5/17 13:42,BOAT,51,41.1014367,-71.849455,ROST,ny_ggi,6/19/17,41.202012,-72.119003
70,144,7/5/17 13:42,BOAT,45,41.1014233,-71.8500147,ROST,ny_ggi,6/19/17,41.202012,-72.119003
71,144,7/5/17 13:42,BOAT,63,41.1014433,-71.8501897,ROST,ny_ggi,6/19/17,41.202012,-72.119003
73,144,7/5/17 13:42,BOAT,63,41.1014617,-71.8505681,ROST,ny_ggi,6/19/17,41.202012,-72.119003
75,144,7/5/17 13:42,BOAT,68,41.1014667,-71.8507481,ROST,ny_ggi,6/19/17,41.202012,-72.119003
63,144,7/5/17 13:43,BOAT,60,41.1015367,-71.8512981,ROST,ny_ggi,6/19/17,41.202012,-72.119003
79,144,7/5/17 13:43,BOAT,46,41.1018883,-71.8524333,ROST,ny_ggi,6/19/17,41.202012,-72.119003
51,144,7/5/17 13:43,BOAT,42,41.1019617,-71.8526097,ROST,ny_ggi,6/19/17,41.202012,-72.119003
58,144,7/5/17 13:44,BOAT,59,41.1021233,-71.8535883,ROST,ny_ggi,6/19/17,41.202012,-72.119003
55,144,7/5/17 13:44,BOAT,41,41.1020317,-71.8537147,ROST,ny_ggi,6/19/17,41.202012,-72.119003
60,144,7/5/17 13:44,BOAT,54,41.1018967,-71.8538264,ROST,ny_ggi,6/19/17,41.202012,-72.119003
84,144,7/5/17 13:44,BOAT,52,41.1017083,-71.8539033,ROST,ny_ggi,6/19/17,41.202012,-72.119003
85,144,7/5/17 13:44,BOAT,56,41.1015367,-71.8539164,ROST,ny_ggi,6/19/17,41.202012,-72.119003
87,144,7/5/17 13:44,BOAT,63,41.101365,-71.8538481,ROST,ny_ggi,6/19/17,41.202012,-72.119003
