Survey ID,Transect,Transect Started,Transect Ended,Transect Comments,GPS Waypoint,Observation.Type,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Observation Comment,Observer,Position,Beaufort ID,Visibility,GPS Latitude,GPS Longitude,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy
Rhode Island,Turbines AM,2017-07-06T14:28:53+00:00,2017-07-06T14:52:04+00:00,IN,179,GPS,,2017-07-06T14:49:58+00:00,,,,,,,,,HFG,Port,2,10,41.1098104,-71.5353126,3.799999952,237,19
Rhode Island,Control AM,2017-07-06T14:53:53+00:00,2017-07-06T15:15:10+00:00,OUT,195,GPS,,2017-07-06T14:57:27+00:00,,,,,,,,,HFG,Port,2,10,41.1029719,-71.5537448,4.269999981,245,6
Rhode Island,Control AM,2017-07-06T14:53:53+00:00,2017-07-06T15:15:10+00:00,IN,211,GPS,,2017-07-06T15:04:57+00:00,,,,,,,,,HFG,Port,2,10,41.1038932,-71.5743868,3.309999943,271,5
Rhode Island,Control AM,2017-07-06T14:53:53+00:00,2017-07-06T15:15:10+00:00,IN,218,GPS,,2017-07-06T15:08:28+00:00,,,,,,,,,HFG,Port,2,10,41.1042888,-71.5834741,3.900000095,279,15
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,238,GPS,,2017-07-06T15:32:01+00:00,,,,,,,,,HFG,Port,2,10,41.1338228,-71.6119738,3.680000067,349,7
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,239,GPS,,2017-07-06T15:32:31+00:00,,,,,,,,,HFG,Port,2,10,41.1346496,-71.6123092,3.660000086,329,16
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,240,USER,,2017-07-06T15:32:37+00:00,COTE,5,Common Tern,Feeding,,300,,,HFG,Port,2,10,41.1343244,-71.612146,2.119999886,342,12
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,245,GPS,,2017-07-06T15:34:30+00:00,,,,,,,,,HFG,Port,2,10,41.1375032,-71.6134936,2.809999943,342,8
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,249,GPS,,2017-07-06T15:36:31+00:00,,,,,,,,,HFG,Port,2,10,41.1407721,-71.6147749,1.929999948,339,9
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,250,GPS,,2017-07-06T15:37:00+00:00,,,,,,,,,HFG,Port,2,10,41.1417504,-71.6147429,3.960000038,6,12
