type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13344483,-71.51414783,41.13344483,-71.51414783,,TRUE,TRUE,,,-66.19,,,2017/07/05 15:03:50+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:03,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13347408,-71.51415487,41.13347408,-71.51415487,,FALSE,FALSE,,,-63.79,,,2017/07/05 15:03:51+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:03,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13346662,-71.51415269,41.13346662,-71.51415269,,FALSE,FALSE,,,-59.46,,,2017/07/05 15:03:53+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:03,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13344483,-71.51414556,41.13344483,-71.51414556,,FALSE,FALSE,,,-55.14,,,2017/07/05 15:03:55+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:03,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13340083,-71.51413115,41.13340083,-71.51413115,,FALSE,FALSE,,,-48.41,,,2017/07/05 15:03:58+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:03,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13337006,-71.51411857,41.13337006,-71.51411857,,FALSE,FALSE,,,-44.56,,,2017/07/05 15:04:00+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:04,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13324651,-71.51407532,41.13324651,-71.51407532,,FALSE,FALSE,,,-40.72,,,2017/07/05 15:04:02+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:04,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13318734,-71.51406107,41.13318734,-71.51406107,,FALSE,FALSE,,,-37.35,,,2017/07/05 15:04:04+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:04,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13315809,-71.51405605,41.13315809,-71.51405605,,FALSE,FALSE,,,-37.35,,,2017/07/05 15:04:05+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:04,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.13313001,-71.51404657,41.13313001,-71.51404657,,FALSE,FALSE,,,-33.99,,,2017/07/05 15:04:06+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:04,,
