type,Waypoint,Latitude,Longitude,y_proj,x_proj,depth,temp,time,wpt_class,sub_class,filename,ltime,magvar,Count,Type,Bird Type,,Behavior,Flight Direction,Behavior.Direction,Distance
WAYPOINT,1,41.344942,-71.516997,41.344942,-71.516997,-104.926506,,,2017/07/05 14:08:18+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 10:08,,,,,,,,
WAYPOINT,2,41.342927,-71.517568,41.342927,-71.517568,-102.666862,,,2017/07/05 14:08:50+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 10:08,,,,,,,,
WAYPOINT,3,41.131419,-71.5135,41.131419,-71.5135,1.426395,,,2017/07/05 15:05:05+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,,,,,,,
WAYPOINT,4,41.131356,-71.513473,41.131356,-71.513473,1.6679,,,2017/07/05 15:05:07+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,,,,,,,
WAYPOINT,5,41.130397,-71.513131,41.130397,-71.513131,4.465054,,,2017/07/05 15:05:39+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:05,,,,,,,,
WAYPOINT,6,41.127074,-71.509668,41.127074,-71.509668,3.65884,,,2017/07/05 15:08:13+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:08,,,,,,,,
WAYPOINT,7,41.118255,-71.564415,41.118255,-71.564415,7.841606,,,2017/07/05 15:36:59+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:36,,,,,,,,
WAYPOINT,8,41.133824,-71.603138,41.133824,-71.603138,6.461699,,,2017/07/05 15:48:55+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:48,,,,,,,,
WAYPOINT,9,41.134949,-71.605527,41.134949,-71.605527,1.198757,,,2017/07/05 15:49:53+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:49,30,1,Common Tern,,Fly,SE,Fly SE,500
WAYPOINT,10,41.132063,-71.607245,41.132063,-71.607245,7.591357,,,2017/07/05 15:52:07+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:52,5,1,Common Tern,,Fly,NW,Fly NW,200
WAYPOINT,10,41.132063,-71.607245,41.132063,-71.607245,7.591357,,,2017/07/05 15:52:07+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:52,5,1,Common Tern,,,, ,500
WAYPOINT,11,41.131958,-71.607377,41.131958,-71.607377,8.827816,,,2017/07/05 15:52:15+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:52,10,1,Common Tern,,Forage,,Forage ,
WAYPOINT,12,41.130173,-71.611665,41.130173,-71.611665,12.640191,,,2017/07/05 15:54:41+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 11:54,,,,,,, ,
WAYPOINT,13,41.126232,-71.631303,41.126232,-71.631303,7.577803,,,2017/07/05 16:02:26+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:02,1,1,Wilson's Storm-Petrel,,,, ,500
WAYPOINT,14,41.125938,-71.632655,41.125938,-71.632655,10.76709,,,2017/07/05 16:02:56+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:02,,,,,,, ,
WAYPOINT,15,41.124859,-71.637448,41.124859,-71.637448,10.132098,,,2017/07/05 16:04:44+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:04,1,1,Greater Shearwater,,Fly,E,Fly E,100
WAYPOINT,16,41.124644,-71.638364,41.124644,-71.638364,8.072603,,,2017/07/05 16:05:05+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:05,1,1,Wilson's Storm-Petrel,,Fly,NW,Fly NW,500
WAYPOINT,17,41.123888,-71.639917,41.123888,-71.639917,5.859135,,,2017/07/05 16:05:44+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:05,7,1,Common Tern,,Fly,N,Fly N,500
WAYPOINT,18,41.123188,-71.643025,41.123188,-71.643025,8.089935,,,2017/07/05 16:06:59+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:06,1,1,Common Tern,,Fly,N,Fly N,500
WAYPOINT,19,41.122124,-71.645334,41.122124,-71.645334,7.503444,,,2017/07/05 16:07:56+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:07,1,1,Wilson's Storm-Petrel,,Forage,,Forage ,200
WAYPOINT,20,41.121635,-71.647988,41.121635,-71.647988,8.258796,,,2017/07/05 16:09:00+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:09,1,1,Common Tern,,Fly,N,Fly N,500
WAYPOINT,20,41.121635,-71.647988,41.121635,-71.647988,8.258796,,,2017/07/05 16:09:00+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:09,1,1,Wilson's Storm-Petrel,,Fly,,Fly ,100
WAYPOINT,21,41.121864,-71.649374,41.121864,-71.649374,8.237768,,,2017/07/05 16:09:36+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:09,1,1,Common Tern,,Fly,N,Fly N,100
WAYPOINT,22,41.122099,-71.650025,41.122099,-71.650025,8.046512,,,2017/07/05 16:09:55+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:09,1,1,Common Tern,,Fly,,Fly ,100
WAYPOINT,23,41.122418,-71.65094,41.122418,-71.65094,9.051424,,,2017/07/05 16:10:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:10,1,1,Wilson's Storm-Petrel,,Fly,,Fly ,500
WAYPOINT,24,41.122507,-71.65167,41.122507,-71.65167,8.439111,,,2017/07/05 16:10:42+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:10,1,1,Great Black-backed Gull,,Fly,,Fly ,500
WAYPOINT,25,41.12158,-71.655804,41.12158,-71.655804,8.848628,,,2017/07/05 16:12:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:12,1,1,Common Tern,,Fly,N,Fly N,200
WAYPOINT,25,41.12158,-71.655804,41.12158,-71.655804,8.848628,,,2017/07/05 16:12:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:12,1,1,Herring Gull,,Fly,E,Fly E,300
WAYPOINT,26,41.120496,-71.659129,41.120496,-71.659129,9.224525,,,2017/07/05 16:13:43+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:13,1,1,Wilson's Storm-Petrel,,Fly,SE,Fly SE,500
WAYPOINT,27,41.118748,-71.66403,41.118748,-71.66403,8.754424,,,2017/07/05 16:15:41+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:15,2,1,Wilson's Storm-Petrel,,Fly,S,Fly S,500
WAYPOINT,28,41.117529,-71.667801,41.117529,-71.667801,8.467765,,,2017/07/05 16:17:10+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:17,1,1,Common Tern,,Fly,E,Fly E,100
WAYPOINT,29,41.116199,-71.671926,41.116199,-71.671926,9.284542,,,2017/07/05 16:18:48+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:18,1,1,Herring Gull,,Fly,SE,Fly SE,500
WAYPOINT,30,41.115057,-71.675399,41.115057,-71.675399,7.550413,,,2017/07/05 16:20:11+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:20,1,1,Cory's Shearwater,,Fly,SE,Fly SE,500
WAYPOINT,31,41.113264,-71.683971,41.113264,-71.683971,8.42205,,,2017/07/05 16:23:32+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:23,1,1,Wilson's Storm-Petrel,,Fly,,Fly ,500
WAYPOINT,32,41.112821,-71.687783,41.112821,-71.687783,7.354692,,,2017/07/05 16:25:02+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:25,1,1,Common Tern,,Fly,N,Fly N,500
WAYPOINT,33,41.111021,-71.717516,41.111021,-71.717516,9.735212,,,2017/07/05 16:36:36+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:36,1,1,Herring Gull,,Other,,Other ,500
WAYPOINT,34,41.109275,-71.72252,41.109275,-71.72252,6.183447,,,2017/07/05 16:37:58+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:37,1,1,Common Tern,,Fly,,Fly ,500
WAYPOINT,35,41.108959,-71.723356,41.108959,-71.723356,7.574908,,,2017/07/05 16:38:12+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:38,6,1,Common Tern,,Forage,,Forage ,500
WAYPOINT,36,41.108022,-71.725872,41.108022,-71.725872,5.892126,,,2017/07/05 16:38:55+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:38,1,1,Double-crested Cormorant,,Fly,W,Fly W,500
WAYPOINT,37,41.104317,-71.735109,41.104317,-71.735109,6.929684,,,2017/07/05 16:41:39+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:41,1,1,Common Tern,,Fly,E,Fly E,100
WAYPOINT,38,41.103726,-71.736683,41.103726,-71.736683,7.681106,,,2017/07/05 16:42:07+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:42,3,1,Common Tern,,Fly,,Fly ,200
WAYPOINT,39,41.101643,-71.742325,41.101643,-71.742325,7.614709,,,2017/07/05 16:43:45+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:43,1,1,Common Tern,,Fly,E,Fly E,300
WAYPOINT,40,41.1009,-71.745167,41.1009,-71.745167,7.954073,,,2017/07/05 16:44:34+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:44,1,1,Roseate Tern,,Fly,E,Fly E,300
WAYPOINT,40,41.1009,-71.745167,41.1009,-71.745167,7.954073,,,2017/07/05 16:44:34+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:44,10,1,Common Tern,,Fly,E,Fly E,300
WAYPOINT,41,41.100452,-71.746739,41.100452,-71.746739,9.865472,,,2017/07/05 16:45:01+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:45,6,1,Common Tern,,Fly,E,Fly E,500
WAYPOINT,42,41.098958,-71.752232,41.098958,-71.752232,12.287641,,,2017/07/05 16:46:33+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:46,8,1,Common Tern,,Fly,E,Fly E,200
WAYPOINT,43,41.09861,-71.753492,41.09861,-71.753492,10.919095,,,2017/07/05 16:46:56+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:46,1,1,Common Tern,,Fly,,Fly ,300
WAYPOINT,44,41.097949,-71.755999,41.097949,-71.755999,9.547609,,,2017/07/05 16:47:37+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:47,8,1,Common Tern,,Forage/Fly,,Forage/Fly ,
WAYPOINT,45,41.097324,-71.758456,41.097324,-71.758456,7.58072,,,2017/07/05 16:48:19+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:48,1,1,Roseate Tern,,Fly,,Fly ,300
WAYPOINT,45,41.097324,-71.758456,41.097324,-71.758456,7.58072,,,2017/07/05 16:48:19+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:48,1,1,Common Tern,,Fly,,Fly ,300
WAYPOINT,46,41.096537,-71.761305,41.096537,-71.761305,10.234789,,,2017/07/05 16:49:08+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:49,4,1,Common Tern,,Fly,E,Fly E,300
WAYPOINT,46,41.096537,-71.761305,41.096537,-71.761305,10.234789,,,2017/07/05 16:49:08+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:49,1,1,Wilson's Storm-Petrel,,Fly,E,Fly E,300
WAYPOINT,47,41.095453,-71.765689,41.095453,-71.765689,7.731912,,,2017/07/05 16:50:23+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:50,2,1,Common Tern,,Fly,E,Fly E,100
WAYPOINT,48,41.095186,-71.766636,41.095186,-71.766636,10.640899,,,2017/07/05 16:50:40+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:50,2,1,Common Tern,,Fly,E,Fly E,200
WAYPOINT,49,41.094665,-71.768358,41.094665,-71.768358,9.423796,,,2017/07/05 16:51:09+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:51,1,1,Common Tern,,Fly,E,Fly E,100
WAYPOINT,50,41.093861,-71.771434,41.093861,-71.771434,9.933952,,,2017/07/05 16:52:02+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:52,1,1,Common Tern,,Fly,,Fly ,200
WAYPOINT,51,41.09269,-71.776623,41.09269,-71.776623,9.033002,,,2017/07/05 16:53:31+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:53,4,1,Common Tern,,Fly,E,Fly E,200
WAYPOINT,52,41.092164,-71.778912,41.092164,-71.778912,9.219756,,,2017/07/05 16:54:09+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:54,1,1,Common Rosefinch,,Fly,SW,Fly SW,200
WAYPOINT,53,41.091765,-71.780728,41.091765,-71.780728,9.342361,,,2017/07/05 16:54:40+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:54,1,1,Common Tern,,Fly,,Fly ,100
WAYPOINT,54,41.091537,-71.781608,41.091537,-71.781608,9.499276,,,2017/07/05 16:54:54+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:54,1,1,Wilson's Storm-Petrel,,Fly,,Fly ,100
