,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTide,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
1,6/20/16,All,All,1,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
2,6/20/16,COTE,F,2,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
3,6/20/16,COTE,M,3,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
4,6/20/16,ROST,F,4,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
5,6/20/16,ROST,M,5,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
6,6/20/16,All,All,6,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
7,6/20/16,COTE,F,7,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
8,6/20/16,COTE,M,8,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
9,6/20/16,ROST,F,9,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
10,6/20/16,ROST,M,10,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
11,6/20/16,All,All,11,6/20/16 4:00,6/20/16 4:00,0.575846177,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
