,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTide,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
1,6/20/16,All,All,1,6/20/16 1:00,6/20/16 1:00,0.14876395,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
6,6/20/16,All,All,6,6/20/16 2:00,6/20/16 2:00,0.34375848,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
11,6/20/16,All,All,11,6/20/16 4:00,6/20/16 4:00,0.575846177,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
16,6/20/16,All,All,16,6/20/16 5:00,6/20/16 5:00,0.759670839,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
21,6/20/16,All,All,21,6/20/16 6:00,6/20/16 6:00,0.840383678,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
26,6/20/16,All,All,26,6/20/16 7:00,6/20/16 7:00,0.813393675,63,59,87,30.25,10,10.4,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
31,6/20/16,All,All,31,6/20/16 8:00,6/20/16 8:00,0.688737293,64.9,59,81,30.26,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
36,6/20/16,All,All,36,6/20/16 9:00,6/20/16 9:00,0.473660888,66,59,78,30.25,10,11.5,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
41,6/20/16,All,All,41,6/20/16 10:00,6/20/16 10:00,0.236231189,66.9,59,76,30.23,10,12.7,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
46,6/20/16,All,All,46,6/20/16 11:00,6/20/16 11:00,0.087499418,66.9,59,76,30.22,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
