,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
2,6/20/16,COTE,F,2,6/20/16 1:00,6/20/16 1:00,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
7,6/20/16,COTE,F,7,6/20/16 2:00,6/20/16 2:00,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
12,6/20/16,COTE,F,12,6/20/16 4:00,6/20/16 4:00,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
17,6/20/16,COTE,F,17,6/20/16 5:00,6/20/16 5:00,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
22,6/20/16,COTE,F,22,6/20/16 6:00,6/20/16 6:00,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
27,6/20/16,COTE,F,27,6/20/16 7:00,6/20/16 7:00,63,59,87,30.25,10,10.4,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
32,6/20/16,COTE,F,32,6/20/16 8:00,6/20/16 8:00,64.9,59,81,30.26,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
37,6/20/16,COTE,F,37,6/20/16 9:00,6/20/16 9:00,66,59,78,30.25,10,11.5,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
42,6/20/16,COTE,F,42,6/20/16 10:00,6/20/16 10:00,66.9,59,76,30.23,10,12.7,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
47,6/20/16,COTE,F,47,6/20/16 11:00,6/20/16 11:00,66.9,59,76,30.22,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
52,6/20/16,COTE,F,52,6/20/16 12:00,6/20/16 12:00,68,59,73,30.21,10,13.8,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
57,6/20/16,COTE,F,57,6/20/16 13:00,6/20/16 13:00,68,59,73,30.17,10,13.8,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
62,6/20/16,COTE,F,62,6/20/16 14:00,6/20/16 14:00,69.1,60.1,73,30.15,10,12.7,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
67,6/20/16,COTE,F,67,6/20/16 15:00,6/20/16 15:00,69.1,59,70,30.13,10,13.8,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
72,6/20/16,COTE,F,72,6/20/16 16:00,6/20/16 16:00,69.1,60.1,73,30.09,10,15,,0,210,25,1,6,2,52.16666667,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
77,6/20/16,COTE,F,77,6/20/16 17:00,6/20/16 17:00,69.1,60.1,73,30.07,10,15,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
82,6/20/16,COTE,F,82,6/20/16 18:00,6/20/16 18:00,68,61,78,30.05,10,12.7,,0,220,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
87,6/20/16,COTE,F,87,6/20/16 19:00,6/20/16 19:00,66.9,61,81,30.02,10,13.8,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
92,6/20/16,COTE,F,92,6/20/16 20:00,6/20/16 20:00,64,60.1,87,30,10,12.7,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
97,6/20/16,COTE,F,97,6/20/16 21:00,6/20/16 21:00,64,59,84,29.98,10,12.7,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
102,6/20/16,COTE,F,102,6/20/16 22:00,6/20/16 22:00,64.9,59,81,29.97,10,11.5,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
107,6/20/16,COTE,F,107,6/20/16 23:00,6/20/16 23:00,64,61,90,29.94,10,15,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,6,2,52.16666667,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
112,6/21/16,COTE,F,112,6/21/16 0:00,6/21/16 0:00,64,61,90,29.91,10,13.8,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
117,6/21/16,COTE,F,117,6/21/16 1:00,6/21/16 1:00,64,61,90,29.87,10,12.7,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
122,6/21/16,COTE,F,122,6/21/16 2:00,6/21/16 2:00,64.9,61,87,29.86,10,11.5,,0,220,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
127,6/21/16,COTE,F,127,6/21/16 3:00,6/21/16 3:00,64.9,61,87,29.83,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
132,6/21/16,COTE,F,132,6/21/16 4:00,6/21/16 4:00,64,61,90,29.8,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
137,6/21/16,COTE,F,137,6/21/16 5:00,6/21/16 5:00,66,60.1,81,29.76,10,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
142,6/21/16,COTE,F,142,6/21/16 6:00,6/21/16 6:00,,,,,8,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
147,6/21/16,COTE,F,147,6/21/16 7:00,6/21/16 7:00,64.65,64.2,98.5,29.82,6.5,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
152,6/21/16,COTE,F,152,6/21/16 8:00,6/21/16 8:00,64.2,63.7,98,29.835,5.5,2.3,,0,80,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
157,6/21/16,COTE,F,157,6/21/16 9:00,6/21/16 9:00,64.9,64,97,29.84,6,17.3,20.7,0,190,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
162,6/21/16,COTE,F,162,6/21/16 10:00,6/21/16 10:00,66.9,64,90,29.79,10,17.3,,0,170,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
167,6/21/16,COTE,F,167,6/21/16 11:00,6/21/16 11:00,68,64.9,90,29.84,8,18.4,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
172,6/21/16,COTE,F,172,6/21/16 12:00,6/21/16 12:00,70,64,81,29.85,10,19.6,28.8,0.01,230,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
177,6/21/16,COTE,F,177,6/21/16 13:00,6/21/16 13:00,73.9,64.9,73,29.82,10,17.3,23,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
182,6/21/16,COTE,F,182,6/21/16 14:00,6/21/16 14:00,75,64.9,71,29.81,10,12.7,,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
187,6/21/16,COTE,F,187,6/21/16 15:00,6/21/16 15:00,79,64,60,29.79,10,13.8,,0,270,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
192,6/21/16,COTE,F,192,6/21/16 16:00,6/21/16 16:00,80.1,60.1,50,29.78,10,16.1,,0,240,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
197,6/21/16,COTE,F,197,6/21/16 17:00,6/21/16 17:00,75,60.1,60,29.78,10,18.4,24.2,0,230,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
202,6/21/16,COTE,F,202,6/21/16 18:00,6/21/16 18:00,73,57.9,59,29.75,10,13.8,,0,240,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
207,6/21/16,COTE,F,207,6/21/16 19:00,6/21/16 19:00,71.1,60.1,68,29.75,10,13.8,,0,220,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
212,6/21/16,COTE,F,212,6/21/16 20:00,6/21/16 20:00,68,62.1,81,29.78,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
217,6/21/16,COTE,F,217,6/21/16 21:00,6/21/16 21:00,66,64,93,29.79,10,12.7,,0,220,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
222,6/21/16,COTE,F,222,6/21/16 22:00,6/21/16 22:00,66.55,62.8,87.5,29.81,10,11.55,,0,245,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
227,6/21/16,COTE,F,227,6/21/16 23:00,6/21/16 23:00,66,63,90,,10,5.8,,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,0,0,,,,,,
232,6/22/16,COTE,F,232,6/22/16 0:00,6/22/16 0:00,66,61,84,29.82,10,4.6,,0,280,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
237,6/22/16,COTE,F,237,6/22/16 1:00,6/22/16 1:00,68,55,63,29.83,10,3.5,,0,340,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
242,6/22/16,COTE,F,242,6/22/16 2:00,6/22/16 2:00,66,55,68,29.83,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
247,6/22/16,COTE,F,247,6/22/16 3:00,6/22/16 3:00,64.9,54,68,29.82,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
252,6/22/16,COTE,F,252,6/22/16 4:00,6/22/16 4:00,62.1,53.1,72,29.82,10,3.5,,0,350,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
257,6/22/16,COTE,F,257,6/22/16 5:00,6/22/16 5:00,62.1,53.1,72,29.82,10,4.6,,0,180,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
262,6/22/16,COTE,F,262,6/22/16 7:00,6/22/16 7:00,66,60.1,81,29.83,10,8.1,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
267,6/22/16,COTE,F,267,6/22/16 8:00,6/22/16 8:00,70,57.9,65,29.84,10,6.9,,0,210,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
272,6/22/16,COTE,F,272,6/22/16 9:00,6/22/16 9:00,72,57,59,29.82,10,8.1,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
277,6/22/16,COTE,F,277,6/22/16 10:00,6/22/16 10:00,72,59,64,29.83,10,10.4,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
282,6/22/16,COTE,F,282,6/22/16 11:00,6/22/16 11:00,73,57,57,29.84,10,9.2,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
287,6/22/16,COTE,F,287,6/22/16 12:00,6/22/16 12:00,72,59,64,29.82,10,11.5,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
292,6/22/16,COTE,F,292,6/22/16 13:00,6/22/16 13:00,73.9,64,71,29.81,10,11.5,,0,220,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,2,29,4,82.96551724,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
