,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTide,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
3,6/20/16,COTE,M,3,6/20/16 1:00,6/20/16 1:00,0.96380372,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
5,6/20/16,ROST,M,5,6/20/16 1:00,6/20/16 1:00,0.96380372,61,57.9,90,30.29,10,6.9,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
8,6/20/16,COTE,M,8,6/20/16 2:00,6/20/16 2:00,0.795700143,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
10,6/20/16,ROST,M,10,6/20/16 2:00,6/20/16 2:00,0.795700143,61,57.9,90,30.28,10,6.9,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
13,6/20/16,COTE,M,13,6/20/16 4:00,6/20/16 4:00,0.53452618,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
15,6/20/16,ROST,M,15,6/20/16 4:00,6/20/16 4:00,0.53452618,61,59,93,30.25,10,8.1,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
18,6/20/16,COTE,M,18,6/20/16 5:00,6/20/16 5:00,0.276479468,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
20,6/20/16,ROST,M,20,6/20/16 5:00,6/20/16 5:00,0.276479468,61,59,93,30.26,10,8.1,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
23,6/20/16,COTE,M,23,6/20/16 6:00,6/20/16 6:00,0.117132229,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
25,6/20/16,ROST,M,25,6/20/16 6:00,6/20/16 6:00,0.117132229,62.1,59,90,30.26,10,9.2,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
28,6/20/16,COTE,M,28,6/20/16 7:00,6/20/16 7:00,0.051557095,63,59,87,30.25,10,10.4,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
30,6/20/16,ROST,M,30,6/20/16 7:00,6/20/16 7:00,0.051557095,63,59,87,30.25,10,10.4,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
33,6/20/16,COTE,M,33,6/20/16 8:00,6/20/16 8:00,0.053357721,64.9,59,81,30.26,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
35,6/20/16,ROST,M,35,6/20/16 8:00,6/20/16 8:00,0.053357721,64.9,59,81,30.26,10,13.8,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,0,0,,,,,,
38,6/20/16,COTE,M,38,6/20/16 9:00,6/20/16 9:00,0.14876395,66,59,78,30.25,10,11.5,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,1,33,2,77.72727273,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
